grid_section_lat,grid_section_long,venue,v_lat,v_long,category,group,type
43.8222125,-111.78251599999999,Café McKay,43.8190773978677,-111.78299188613899,College Cafeteria,College Cafeteria,College & University
43.8222125,-111.77919106666701,Brigham Young University-Idaho,43.818211727303705,-111.782564837144,University,University,College & University
43.8222125,-111.77919106666701,Spori Lab 014,43.8207820917538,-111.782506646456,College Classroom,College Classroom,College & University
43.8222125,-111.77919106666701,ADC Business and Communication,43.81944,-111.78153400000001,College Academic Building,College Academic Building,College & University
43.8222125,-111.77919106666701,BYU-Idaho Reading Center,43.81950749718631,-111.78233083885901,College Lab,College Lab,College & University
43.8222125,-111.775866133333,Smith 4th Floor,43.819241999999996,-111.78154199999999,College Communications Building,College Academic Building,College & University
43.8222125,-111.775866133333,IBC Classroom,43.819244,-111.781377,College Classroom,College Classroom,College & University
43.8222125,-111.775866133333,Joseph Fielding Smith Building,43.81925065135991,-111.781726914192,College Academic Building,College Academic Building,College & University
43.8222125,-111.775866133333,Smith Computer Classroom 263,43.819115000000004,-111.78181299999999,College Classroom,College Classroom,College & University
43.8222125,-111.775866133333,Smith Building,43.819097982579,-111.781371078549,College Academic Building,College Academic Building,College & University
43.8222125,-111.775866133333,The Campus Dorm's Parking Lot,43.818866,-111.78093700000001,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
43.8222125,-111.7725412,Tennis Courts,43.81701677539579,-111.77839179781999,Tennis Court,Athletics & Sports,Outdoors & Recreation
43.8222125,-111.7725412,BYU-Idaho Radio,43.8173436648495,-111.779610568885,College Communications Building,College Academic Building,College & University
43.8222125,-111.7725412,University Communications Building,43.8175178009089,-111.77974605610001,College Communications Building,College Academic Building,College & University
43.8222125,-111.7725412,Radio & Grapgic Services Building,43.81726593563089,-111.779397726059,College Administrative Building,College Administrative Building,College & University
43.8222125,-111.769216266667,Enterprise CarShare,43.816274,-111.77892,Rental Car Location,Rental Car Location,Travel & Transport
43.8222125,-111.769216266667,Student Counseling Center,43.8167939668441,-111.779489101037,Medical Center,Medical Center,Professional & Other Places
43.8222125,-111.769216266667,Student Health Center,43.816790755783394,-111.779434986257,Doctor's Office,Medical Center,Professional & Other Places
43.8222125,-111.769216266667,chapman hall,43.818421641079,-111.78028394281799,College Residence Hall,College Residence Hall,College & University
43.8222125,-111.769216266667,Kensington Manor,43.8188036182794,-111.777703396581,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
43.8222125,-111.769216266667,BYU Idaho Testing Center,43.818685008551505,-111.78096062806601,College Administrative Building,College Administrative Building,College & University
43.8222125,-111.7625664,The Bar - Leftovers - Made Fresh the Day Before,43.811913,-111.773652,Café,Café,Food
43.8222125,-111.7625664,Jordan Ridge Kings Palace,43.813118474703906,-111.775766611369,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
43.8222125,-111.759241466667,BYUI Outdoor Activities,43.80836,-111.75848,College Administrative Building,College Administrative Building,College & University
43.8222125,-111.759241466667,Jordan Ridge,43.812256,-111.77583899999999,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
43.8198143,-111.805790533333,The Church of Jesus Christ of Latter-day Saints,43.8134146269404,-111.794981080463,Church,Spiritual Center,Professional & Other Places
43.8198143,-111.805790533333,The Tool Pound,43.814999,-111.793474,Dog Run,Dog Run,Outdoors & Recreation
43.8198143,-111.805790533333,Southgate Lounge,43.81341006026071,-111.79507835394199,Event Space,Event Space,Professional & Other Places
43.8198143,-111.805790533333,courthouse design,43.813996,-111.794397,Design Studio,Design Studio,Shop & Service
43.8198143,-111.805790533333,World Gym Fitness Center,43.8119132092842,-111.805040023915,Gym / Fitness Center,Athletics & Sports,Outdoors & Recreation
43.8198143,-111.8024656,Tuscany,43.81658,-111.790744,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
43.8198143,-111.8024656,Lexington Apartments,43.815068,-111.794926,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
43.8198143,-111.8024656,Karie Anne's Delectable Desserts,43.8121778867624,-111.803252079673,Dessert Shop,Dessert Shop,Food
43.8198143,-111.799140666667,Subway,43.817948675990706,-111.78889378429899,Sandwich Place,Sandwich Place,Food
43.8198143,-111.799140666667,Madison county Transfer station,43.815706,-111.79156499999999,Other Great Outdoors,Other Great Outdoors,Outdoors & Recreation
43.8198143,-111.799140666667,Alpine Chalet Gym,43.816275,-111.7907,Gym,Athletics & Sports,Outdoors & Recreation
43.8198143,-111.795815733333,Colonial House,43.816997499991515,-111.788190088252,College Residence Hall,College Residence Hall,College & University
43.8198143,-111.795815733333,Da Pineapple Grill,43.818148,-111.78893400000001,Sushi Restaurant,Asian Restaurant,Food
43.8198143,-111.795815733333,Casa De Ochoa,43.818104,-111.78879,Burrito Place,Mexican Restaurant,Food
43.8198143,-111.795815733333,Rockland,43.817239,-111.790784,College Residence Hall,College Residence Hall,College & University
43.8198143,-111.79249080000001,Enterprise CarShare,43.817808,-111.78636000000002,Rental Car Location,Rental Car Location,Travel & Transport
43.8198143,-111.79249080000001,Alpine Apartments,43.816059,-111.790243,College Residence Hall,College Residence Hall,College & University
